Review_ID,Product_ID,Product_Category,User_ID,Review_Text,Rating,Review_Length,Verified_Purchase,Review_Date,Label_Fake
R1000,P24,Clothing,U89,Great value for money.,2,48,Yes,2023-01-01,0
R1001,P37,Sports,U186,"Loved it, will buy again!",1,209,Yes,2023-01-02,1
R1002,P24,Home & Kitchen,U99,Genuine and premium feel.,4,240,No,2023-01-03,0
R1003,P3,Sports,U95,"Excellent product, highly recommend!",3,81,Yes,2023-01-04,0
R1004,P8,Sports,U41,Great value for money.,2,204,No,2023-01-05,0
R1005,P1,Books,U21,Worst experience ever.,1,35,No,2023-01-06,0
R1006,P30,Home & Kitchen,U74,"Okay-ish, not worth the price.",5,203,Yes,2023-01-07,0
R1007,P24,Home & Kitchen,U183,"Okay-ish, not worth the price.",4,140,Yes,2023-01-08,0
R1008,P48,Home & Kitchen,U132,"Excellent product, highly recommend!",2,29,Yes,2023-01-09,0
R1009,P29,Sports,U78,"Loved it, will buy again!",2,177,Yes,2023-01-10,1
R1010,P14,Clothing,U14,"Loved it, will buy again!",3,172,Yes,2023-01-11,0
R1011,P12,Home & Kitchen,U93,Worst experience ever.,3,122,Yes,2023-01-12,0
R1012,P46,Sports,U72,"Excellent product, highly recommend!",5,103,Yes,2023-01-13,0
R1013,P13,Books,U34,"Okay-ish, not worth the price.",5,152,No,2023-01-14,0
R1014,P24,Clothing,U79,"Loved it, will buy again!",1,84,No,2023-01-15,0
R1015,P36,Books,U57,"Excellent product, highly recommend!",1,241,No,2023-01-16,1
R1016,P48,Clothing,U66,Looks fake and cheap.,5,196,Yes,2023-01-17,0
R1017,P12,Sports,U123,"Loved it, will buy again!",5,22,Yes,2023-01-18,0
R1018,P1,Electronics,U118,Great value for money.,4,192,Yes,2023-01-19,0
R1019,P41,Clothing,U169,Looks fake and cheap.,3,161,No,2023-01-20,1
R1020,P37,Books,U10,Genuine and premium feel.,1,139,Yes,2023-01-21,0
R1021,P22,Sports,U123,"Loved it, will buy again!",3,177,No,2023-01-22,0
R1022,P5,Clothing,U106,"Okay-ish, not worth the price.",3,87,Yes,2023-01-23,0
R1023,P47,Electronics,U124,"Terrible quality, broke in 2 days.",5,165,Yes,2023-01-24,1
R1024,P47,Electronics,U194,Looks fake and cheap.,4,209,No,2023-01-25,0
R1025,P41,Home & Kitchen,U129,Genuine and premium feel.,2,56,Yes,2023-01-26,1
R1026,P43,Home & Kitchen,U13,Worst experience ever.,4,172,No,2023-01-27,0
R1027,P32,Books,U140,Worst experience ever.,4,195,No,2023-01-28,0
R1028,P13,Clothing,U184,"Okay-ish, not worth the price.",3,212,Yes,2023-01-29,0
R1029,P34,Clothing,U92,"Loved it, will buy again!",4,200,Yes,2023-01-30,0
R1030,P38,Home & Kitchen,U36,"Excellent product, highly recommend!",1,226,Yes,2023-01-31,0
R1031,P9,Clothing,U111,"Loved it, will buy again!",3,92,No,2023-02-01,0
R1032,P50,Clothing,U162,"Okay-ish, not worth the price.",1,162,Yes,2023-02-02,0
R1033,P25,Electronics,U128,Worst experience ever.,2,68,Yes,2023-02-03,0
R1034,P31,Home & Kitchen,U87,"Loved it, will buy again!",3,140,Yes,2023-02-04,0
R1035,P14,Sports,U40,Worst experience ever.,2,107,No,2023-02-05,1
R1036,P10,Home & Kitchen,U188,Looks fake and cheap.,3,215,Yes,2023-02-06,1
R1037,P46,Sports,U200,Genuine and premium feel.,5,159,No,2023-02-07,0
R1038,P26,Electronics,U149,"Excellent product, highly recommend!",4,206,No,2023-02-08,0
R1039,P33,Books,U172,Looks fake and cheap.,5,56,Yes,2023-02-09,0
R1040,P23,Clothing,U51,Worst experience ever.,2,80,Yes,2023-02-10,0
R1041,P41,Electronics,U133,Worst experience ever.,4,248,No,2023-02-11,0
R1042,P26,Clothing,U103,"Terrible quality, broke in 2 days.",3,190,Yes,2023-02-12,0
R1043,P27,Books,U192,"Terrible quality, broke in 2 days.",4,143,No,2023-02-13,0
R1044,P24,Books,U2,Looks fake and cheap.,1,217,Yes,2023-02-14,0
R1045,P32,Electronics,U78,Great value for money.,4,58,Yes,2023-02-15,0
R1046,P3,Books,U140,Looks fake and cheap.,1,203,No,2023-02-16,0
R1047,P5,Sports,U54,"Terrible quality, broke in 2 days.",4,82,Yes,2023-02-17,0
R1048,P48,Books,U138,Worst experience ever.,1,65,Yes,2023-02-18,0
R1049,P15,Clothing,U63,"Okay-ish, not worth the price.",2,107,Yes,2023-02-19,0
R1050,P43,Clothing,U84,Looks fake and cheap.,5,30,Yes,2023-02-20,0
R1051,P4,Clothing,U111,Worst experience ever.,3,81,Yes,2023-02-21,0
R1052,P1,Clothing,U74,"Okay-ish, not worth the price.",4,96,Yes,2023-02-22,1
R1053,P13,Sports,U31,"Okay-ish, not worth the price.",5,245,No,2023-02-23,0
R1054,P9,Home & Kitchen,U102,"Terrible quality, broke in 2 days.",3,172,Yes,2023-02-24,0
R1055,P16,Electronics,U196,Looks fake and cheap.,3,218,Yes,2023-02-25,0
R1056,P48,Clothing,U125,"Loved it, will buy again!",1,71,Yes,2023-02-26,0
R1057,P18,Books,U118,"Excellent product, highly recommend!",2,23,No,2023-02-27,0
R1058,P29,Clothing,U24,"Terrible quality, broke in 2 days.",2,78,Yes,2023-02-28,0
R1059,P30,Books,U11,"Terrible quality, broke in 2 days.",5,91,No,2023-03-01,0
R1060,P34,Books,U36,"Loved it, will buy again!",2,167,Yes,2023-03-02,1
R1061,P1,Clothing,U131,"Excellent product, highly recommend!",4,112,Yes,2023-03-03,0
R1062,P36,Sports,U56,Worst experience ever.,2,82,Yes,2023-03-04,0
R1063,P38,Books,U148,Great value for money.,5,73,Yes,2023-03-05,0
R1064,P36,Books,U4,Looks fake and cheap.,2,136,Yes,2023-03-06,0
R1065,P26,Clothing,U76,Great value for money.,4,129,Yes,2023-03-07,0
R1066,P4,Books,U160,Worst experience ever.,1,93,No,2023-03-08,0
R1067,P14,Books,U11,Genuine and premium feel.,5,126,Yes,2023-03-09,0
R1068,P38,Clothing,U132,"Terrible quality, broke in 2 days.",1,245,Yes,2023-03-10,0
R1069,P48,Clothing,U189,"Excellent product, highly recommend!",1,76,Yes,2023-03-11,0
R1070,P32,Electronics,U80,"Terrible quality, broke in 2 days.",1,237,No,2023-03-12,0
R1071,P10,Sports,U47,"Okay-ish, not worth the price.",3,188,Yes,2023-03-13,0
R1072,P5,Sports,U167,"Terrible quality, broke in 2 days.",3,22,Yes,2023-03-14,0
R1073,P26,Books,U163,"Terrible quality, broke in 2 days.",1,139,Yes,2023-03-15,0
R1074,P7,Sports,U36,Worst experience ever.,5,25,No,2023-03-16,0
R1075,P13,Books,U97,Worst experience ever.,4,24,Yes,2023-03-17,0
R1076,P29,Electronics,U47,Worst experience ever.,4,24,Yes,2023-03-18,0
R1077,P40,Clothing,U23,Great value for money.,2,73,No,2023-03-19,1
R1078,P5,Clothing,U27,"Okay-ish, not worth the price.",5,66,No,2023-03-20,0
R1079,P35,Clothing,U132,Genuine and premium feel.,3,234,Yes,2023-03-21,0
R1080,P12,Sports,U198,Genuine and premium feel.,1,196,No,2023-03-22,0
R1081,P17,Electronics,U76,Worst experience ever.,2,28,Yes,2023-03-23,0
R1082,P9,Sports,U51,"Excellent product, highly recommend!",4,118,Yes,2023-03-24,1
R1083,P31,Sports,U95,Great value for money.,3,39,Yes,2023-03-25,1
R1084,P50,Electronics,U199,"Loved it, will buy again!",3,141,Yes,2023-03-26,0
R1085,P6,Electronics,U112,"Excellent product, highly recommend!",1,80,Yes,2023-03-27,0
R1086,P23,Electronics,U115,Looks fake and cheap.,4,142,No,2023-03-28,0
R1087,P39,Electronics,U32,Looks fake and cheap.,5,182,Yes,2023-03-29,1
R1088,P35,Clothing,U136,"Excellent product, highly recommend!",3,197,Yes,2023-03-30,0
R1089,P38,Home & Kitchen,U171,Worst experience ever.,1,101,Yes,2023-03-31,0
R1090,P40,Home & Kitchen,U174,"Loved it, will buy again!",5,81,No,2023-04-01,0
R1091,P21,Electronics,U148,"Loved it, will buy again!",4,164,Yes,2023-04-02,0
R1092,P11,Home & Kitchen,U5,Great value for money.,3,235,Yes,2023-04-03,0
R1093,P43,Home & Kitchen,U186,"Loved it, will buy again!",5,22,Yes,2023-04-04,0
R1094,P6,Electronics,U115,Looks fake and cheap.,5,179,Yes,2023-04-05,0
R1095,P30,Home & Kitchen,U137,"Okay-ish, not worth the price.",5,246,No,2023-04-06,0
R1096,P31,Sports,U165,Worst experience ever.,3,249,No,2023-04-07,0
R1097,P14,Books,U94,"Loved it, will buy again!",3,32,Yes,2023-04-08,0
R1098,P16,Books,U96,Great value for money.,2,139,No,2023-04-09,0
R1099,P46,Electronics,U89,Looks fake and cheap.,4,144,Yes,2023-04-10,0
R1100,P43,Clothing,U78,"Okay-ish, not worth the price.",1,108,No,2023-04-11,0
R1101,P46,Electronics,U113,"Terrible quality, broke in 2 days.",5,92,Yes,2023-04-12,0
R1102,P14,Clothing,U88,"Terrible quality, broke in 2 days.",2,87,Yes,2023-04-13,0
R1103,P8,Books,U169,"Okay-ish, not worth the price.",1,161,Yes,2023-04-14,0
R1104,P40,Electronics,U88,Looks fake and cheap.,2,120,Yes,2023-04-15,0
R1105,P36,Sports,U66,Great value for money.,3,117,Yes,2023-04-16,0
R1106,P47,Home & Kitchen,U103,"Okay-ish, not worth the price.",5,30,Yes,2023-04-17,0
R1107,P21,Clothing,U190,Worst experience ever.,1,124,Yes,2023-04-18,0
R1108,P44,Home & Kitchen,U184,Worst experience ever.,1,203,No,2023-04-19,0
R1109,P39,Home & Kitchen,U77,"Terrible quality, broke in 2 days.",1,86,Yes,2023-04-20,0
R1110,P48,Electronics,U146,"Loved it, will buy again!",1,142,Yes,2023-04-21,0
R1111,P18,Home & Kitchen,U198,Great value for money.,1,239,No,2023-04-22,0
R1112,P50,Sports,U26,"Terrible quality, broke in 2 days.",2,48,Yes,2023-04-23,0
R1113,P10,Home & Kitchen,U47,"Loved it, will buy again!",5,156,Yes,2023-04-24,0
R1114,P27,Electronics,U102,"Loved it, will buy again!",3,214,Yes,2023-04-25,0
R1115,P17,Sports,U95,Genuine and premium feel.,3,172,No,2023-04-26,0
R1116,P12,Books,U157,Worst experience ever.,3,245,Yes,2023-04-27,0
R1117,P30,Home & Kitchen,U135,Looks fake and cheap.,3,95,Yes,2023-04-28,0
R1118,P30,Electronics,U107,"Excellent product, highly recommend!",2,189,No,2023-04-29,0
R1119,P2,Books,U83,Looks fake and cheap.,4,28,No,2023-04-30,0
R1120,P4,Books,U71,"Excellent product, highly recommend!",5,226,Yes,2023-05-01,0
R1121,P4,Clothing,U118,"Okay-ish, not worth the price.",1,59,Yes,2023-05-02,0
R1122,P24,Sports,U142,Worst experience ever.,4,44,Yes,2023-05-03,0
R1123,P36,Home & Kitchen,U152,"Loved it, will buy again!",3,24,No,2023-05-04,0
R1124,P38,Electronics,U71,Great value for money.,4,158,Yes,2023-05-05,0
R1125,P24,Clothing,U129,"Excellent product, highly recommend!",5,206,Yes,2023-05-06,1
R1126,P19,Sports,U104,Looks fake and cheap.,1,245,No,2023-05-07,1
R1127,P15,Clothing,U167,"Loved it, will buy again!",1,235,Yes,2023-05-08,0
R1128,P22,Sports,U57,"Excellent product, highly recommend!",5,143,Yes,2023-05-09,0
R1129,P6,Sports,U1,"Excellent product, highly recommend!",5,226,Yes,2023-05-10,0
R1130,P28,Home & Kitchen,U28,Genuine and premium feel.,3,57,Yes,2023-05-11,0
R1131,P2,Sports,U145,"Excellent product, highly recommend!",1,91,Yes,2023-05-12,0
R1132,P28,Clothing,U81,Great value for money.,4,152,Yes,2023-05-13,0
R1133,P29,Sports,U92,Worst experience ever.,2,195,Yes,2023-05-14,0
R1134,P1,Home & Kitchen,U150,Great value for money.,2,109,Yes,2023-05-15,0
R1135,P2,Home & Kitchen,U194,"Terrible quality, broke in 2 days.",5,165,No,2023-05-16,0
R1136,P22,Clothing,U49,"Loved it, will buy again!",3,217,Yes,2023-05-17,0
R1137,P13,Books,U134,Worst experience ever.,2,56,No,2023-05-18,0
R1138,P10,Books,U106,Genuine and premium feel.,1,79,Yes,2023-05-19,0
R1139,P47,Sports,U6,Worst experience ever.,5,195,No,2023-05-20,0
R1140,P34,Electronics,U18,Worst experience ever.,4,224,No,2023-05-21,0
R1141,P43,Sports,U18,Looks fake and cheap.,5,47,Yes,2023-05-22,0
R1142,P38,Clothing,U94,Worst experience ever.,4,216,No,2023-05-23,0
R1143,P16,Clothing,U189,Genuine and premium feel.,5,224,No,2023-05-24,0
R1144,P15,Clothing,U26,Great value for money.,5,100,Yes,2023-05-25,0
R1145,P40,Clothing,U103,Worst experience ever.,5,133,Yes,2023-05-26,0
R1146,P16,Clothing,U140,"Okay-ish, not worth the price.",4,59,Yes,2023-05-27,1
R1147,P2,Home & Kitchen,U106,"Loved it, will buy again!",4,64,No,2023-05-28,0
R1148,P36,Books,U87,Worst experience ever.,5,243,No,2023-05-29,0
R1149,P28,Clothing,U116,"Loved it, will buy again!",2,81,No,2023-05-30,1
R1150,P34,Electronics,U192,"Okay-ish, not worth the price.",3,112,Yes,2023-05-31,0
